	TCGA-A6-2671-01A	TCGA-A6-2675-01A	TCGA-A6-2678-01A	TCGA-A6-2679-01A	TCGA-A6-2680-01A	TCGA-A6-2671-11A	TCGA-A6-2675-11A	TCGA-A6-2678-11A	TCGA-A6-2679-11A	TCGA-A6-2680-11A
CTD-3184A7.4	137	163	103	23	156	80	47	99	81	68
CTD-3185P2.1	9	24	36	0	27	30	33	40	32	58
CTD-3199J23.6	6	16	8	0	18	25	26	34	8	40
CTD-3222D19.12	18	54	46	1	22	22	21	26	20	20
CTD-3222D19.8	13	49	24	1	25	21	19	40	24	46
CTD-3252C9.4	437	796	266	181	440	487	357	556	474	290
CTDNEP1	2710	2558	1633	769	1733	6119	3332	6243	5208	6001
CTDP1	1412	1439	608	377	1219	3385	1627	3145	2661	2514
CTDSP1	4387	5058	3125	839	3445	12583	6622	11311	9222	12705
CTDSP2	6282	13119	6796	735	4044	25146	15091	27882	18064	16342
CTDSPL	2953	2492	3535	344	1919	6237	4016	7416	3904	3231
CTDSPL2	327	1093	715	33	373	1430	1145	1857	1146	2025
CTF1	46	61	36	7	17	158	262	119	87	227
CTGF	4523	6726	2007	1774	2975	4843	4204	7607	3345	2398
CTH	46	209	195	20	183	490	234	499	333	890
CTHRC1	992	3291	636	75	346	71	69	139	118	58
CTIF	725	1371	335	116	543	1517	2398	1509	967	2165
CTLA4	31	88	59	3	40	18	13	25	84	17
CTNNA1	11628	20537	17038	2296	12840	34620	25186	29344	28453	30025
CTNNAL1	703	561	895	40	477	1532	1303	813	821	1080
CTNNAP1	21	12	27	1	30	41	20	40	15	49
CTNNB1	48607	27036	23273	2137	20256	21640	18940	22231	18111	28468
CTNNBIP1	1783	1266	1318	582	1201	1766	984	1772	1440	1936
CTNNBL1	2827	6028	1107	624	1673	2258	1858	2160	1920	2548
CTNND1	6246	23727	12361	670	8056	36370	23052	42738	27026	31870
CTNS	391	620	212	135	248	733	493	788	797	773
CTPS1	1887	1718	1779	239	1040	713	1352	594	741	1074
CTPS2	1145	1766	1170	308	1183	1347	947	1671	1020	1540
CTR9	1426	2912	1706	105	644	3110	2506	3996	2641	3322
CTSA	7604	24553	5827	3163	6780	44111	14079	32292	22774	24246
CTSB	16371	46338	29779	5101	16228	37224	25070	45390	33085	46150
CTSC	2233	7051	7705	836	4149	7199	4852	10725	12692	6761
CTSD	23204	42409	15031	4546	11767	84024	29864	69151	53241	82154
CTSE	29	664	292	139	281	1595	858	1005	888	617
CTSF	414	1155	524	119	213	1856	2739	1652	1243	1638
CTSH	2626	9463	6142	803	2239	3028	1510	3615	2897	8587
CTSK	1968	8124	2168	298	984	2137	2816	3618	2242	1222
CTSL	3295	4480	2355	299	1054	3956	3827	3723	2635	2096
CTSO	431	1530	1491	28	294	2043	1860	1928	2004	4245
CTSS	2426	14968	11713	1808	4659	25070	13395	34140	29600	10057
CTSV	261	809	685	53	83	521	136	310	155	64
CTSW	55	86	126	10	17	323	98	384	463	140
CTSZ	17245	12326	4438	4080	9254	25051	9258	19187	24263	33046
CTTN	5876	12748	7419	1953	7746	16083	10195	12221	14045	11760
CTTNBP2	383	954	162	10	151	188	179	358	183	187
CTTNBP2NL	817	3328	1932	65	671	3361	2226	3834	3210	1875
CTU1	660	113	118	329	399	234	73	191	177	129
CTU2	747	911	304	429	758	556	477	449	482	425
CTXN1	237	20	10	115	36	387	774	124	58	95
CUBN	9	32	12	0	9	29	67	72	76	60300
CUEDC1	1054	1808	826	364	731	1806	2021	1406	1168	1229
CUEDC2	1105	1436	725	546	629	1899	1358	1756	1409	1716
CUL1	2521	2910	2724	304	1878	3053	3116	3536	2604	3347
CUL2	1177	1456	1828	96	779	1634	1453	1896	1384	2291
CUL3	2285	3073	3130	197	1726	3953	2752	4895	3783	4167
CUL4A	4777	3999	6386	493	4328	3827	3577	4606	3185	3811
CUL4B	973	3701	2468	39	884	2739	2435	3780	2062	2738
CUL5	255	1727	1068	39	337	1429	1518	1904	1282	1928
CUL7	898	1845	1063	236	1075	1629	1378	2128	1417	1954
CUL9	748	1330	746	161	777	1472	1291	1707	1443	1803
CUTA	2979	4030	2174	1463	3308	5796	3065	5408	4065	5301
CUTC	145	430	209	22	249	596	439	693	587	1133
CUX1	4713	9006	3812	1306	4766	10211	7440	9639	7202	8088
CUZD1	2	41	15	2	6	27	30	40	39	23
CWC15	418	1704	1437	153	566	1759	1379	1986	1430	2351
CWC22	371	1006	612	12	261	894	871	1313	895	1274
CWC25	509	1109	392	58	374	963	674	1378	900	1113
CWC27	493	653	726	19	281	838	843	1043	723	720
CWF19L1	390	874	612	114	415	649	563	1009	835	855
CWF19L2	129	508	384	12	99	553	482	720	471	619
CX3CL1	314	1323	401	116	238	723	1022	1505	820	1081
CX3CR1	40	97	21	0	14	63	149	93	103	87
CXADR	1728	3888	3504	169	1598	5688	3067	5419	3530	7247
CXCL1	851	1766	766	1024	1248	335	119	209	495	293
CXCL10	971	1080	3946	81	155	92	56	36	986	90
CXCL11	455	815	2416	90	63	41	21	9	338	14
CXCL12	1579	1602	348	33	228	5230	9428	6260	4704	5458
CXCL13	9	125	157	1	29	76	26	460	482	213
CXCL14	1188	3557	2321	2351	3421	10374	4528	7256	17406	10357
CXCL16	2516	3685	2020	970	3048	3161	2166	2769	3586	5431
CXCL2	326	483	245	108	296	153	133	82	170	848
CXCL3	417	998	1227	553	655	203	73	101	230	122
CXCL5	159	18	190	9	66	43	9	13	53	5
CXCL6	22	121	52	8	16	21	10	24	25	71
CXCL8	1018	2729	1004	50	423	72	76	78	138	413
CXCL9	266	1174	2041	41	285	225	134	145	3861	97
CXCR2	117	96	18	0	38	24	23	40	47	38
CXCR3	293	852	103	262	250	386	134	181	969	537
CXCR4	658	1829	434	181	466	947	521	3342	1919	766
CXCR6	41	180	168	73	60	287	90	313	1612	316
CXXC1	1689	1639	639	626	1264	2665	1551	2730	2438	2385
CXXC4	40	101	192	52	25	141	174	163	38	669
CXXC5	1213	3366	919	808	2848	2587	1603	2371	1514	3001
CXorf21	22	75	49	0	16	117	50	179	167	65
CXorf23	165	812	340	27	206	884	570	1153	674	749
CXorf36	191	366	169	33	189	507	937	567	378	548
CXorf38	510	1413	1420	185	948	1182	715	1525	1310	2080
CXorf40A	315	749	329	121	321	873	450	844	709	700
