	TCGA-A6-2671-01A	TCGA-A6-2675-01A	TCGA-A6-2678-01A	TCGA-A6-2679-01A	TCGA-A6-2680-01A	TCGA-A6-2671-11A	TCGA-A6-2675-11A	TCGA-A6-2678-11A	TCGA-A6-2679-11A	TCGA-A6-2680-11A
KB-431C1.4	47	207	155	5	56	205	146	318	177	161
KB-431C1.5	12	36	9	0	6	5	9	20	8	12
KBTBD11	275	748	934	138	915	4156	1927	5407	3691	6751
KBTBD11-OT1	1	6	13	0	12	62	30	84	86	232
KBTBD2	2095	1916	1918	156	1404	1913	1343	2281	1591	2145
KBTBD3	43	156	140	5	59	198	163	269	162	356
KBTBD4	523	305	277	79	277	510	400	665	366	580
KBTBD6	439	473	251	34	316	376	504	554	375	293
KBTBD7	253	403	326	16	299	520	436	795	477	482
KBTBD8	60	166	226	2	95	141	88	180	250	180
KCMF1	2375	2302	3475	415	1655	3955	2543	4022	2924	4374
KCNAB1	23	55	55	1	10	226	220	223	102	252
KCNAB2	977	1734	363	458	666	965	588	1246	1492	506
KCNAB3	19	41	12	0	20	17	25	55	39	33
KCNC3	70	142	16	3	48	67	46	90	78	54
KCNC4	278	648	252	41	340	471	893	628	446	452
KCND1	44	105	26	2	39	114	183	123	90	85
KCND3	80	249	44	4	63	517	1025	420	498	422
KCNE3	438	2579	4923	202	1214	1341	733	1893	989	899
KCNE4	142	258	73	9	72	129	298	234	165	187
KCNG1	65	19	8	23	29	803	37	559	231	760
KCNH2	1132	268	346	114	469	1695	3252	748	373	1403
KCNH4	8	82	36	1	11	7	10	7	11	24
KCNH8	245	260	236	2	118	28	70	64	30	46
KCNIP2	127	110	6	1	24	46	37	60	58	244
KCNIP3	59	49	13	0	13	193	395	162	62	212
KCNIP4	21	46	34	1	14	321	1080	230	127	351
KCNJ10	12	14	23	3	9	24	12	53	170	12
KCNJ11	228	83	80	35	270	86	54	167	70	70
KCNJ12	88	29	1	10	7	178	107	278	67	77
KCNJ14	87	103	63	11	51	30	41	52	28	45
KCNJ15	22	193	23	1	4	6	9	10	10	13
KCNJ2	141	441	887	4	218	712	373	1538	747	173
KCNJ2-AS1	17	56	50	1	41	184	84	181	109	50
KCNJ3	4	20	44	2	120	55	66	110	73	2660
KCNJ5	43	228	33	8	26	80	99	123	80	84
KCNJ8	120	134	85	19	67	190	526	233	36	343
KCNK1	761	1151	840	272	751	2418	1686	1397	1496	1080
KCNK10	7	94	31	27	97	281	160	430	275	253
KCNK13	33	62	47	0	16	71	19	75	67	22
KCNK15	82	71	16	1	27	47	19	9	12	20
KCNK5	1536	4147	1195	447	1302	5690	2473	5174	3554	12293
KCNK6	993	1504	348	268	996	4046	2782	2822	2642	1819
KCNK7	7	7	6	0	22	32	21	32	20	46
KCNMA1	421	872	274	28	129	5639	12914	4184	1202	3500
KCNMB1	317	242	47	30	93	2557	5523	1321	437	2511
KCNMB3	14	38	17	6	14	35	27	46	57	44
KCNMB4	62	367	14	15	13	235	325	305	289	342
KCNN2	7	15	7	9	11	32	127	46	21	38
KCNN3	71	175	65	82	72	719	1839	571	511	835
KCNN4	7465	3006	5133	2664	1640	1861	1076	1874	1739	373
KCNQ1	9820	7287	2696	1665	7767	6632	2118	5241	4338	4526
KCNQ1OT1	212	232	70	30	63	55	89	77	83	114
KCNQ3	16	48	9	0	11	49	125	41	51	168
KCNQ4	172	63	70	16	42	373	732	327	200	248
KCNS3	215	313	138	39	126	1116	395	1652	1031	415
KCP	58	147	47	8	50	31	13	27	31	465
KCTD1	42	142	38	19	98	473	438	454	205	133
KCTD10	2477	3200	1949	457	1903	5874	4337	4511	3975	3585
KCTD11	597	993	272	65	383	1276	1010	1241	991	1052
KCTD12	674	2901	840	33	1238	6605	7845	7389	4767	4648
KCTD13	905	705	355	215	788	651	384	668	518	632
KCTD14	375	848	748	126	486	417	358	348	307	243
KCTD15	243	606	174	35	321	1138	1885	994	401	928
KCTD17	967	979	654	249	642	1169	928	1148	1231	390
KCTD18	316	706	619	19	294	1114	776	1122	808	1238
KCTD2	564	1421	1113	98	561	1974	1822	2261	1431	2171
KCTD20	1964	3793	3275	174	1576	2618	3853	3176	2292	3589
KCTD21	125	630	161	34	129	482	465	457	384	467
KCTD21-AS1	0	17	38	4	39	11	8	42	37	51
KCTD3	735	1900	1807	93	1910	3456	3183	3603	2127	7712
KCTD5	1553	2217	1801	346	1747	4926	2078	5122	4284	2217
KCTD6	241	274	345	16	193	233	275	263	206	263
KCTD7	237	480	239	49	243	456	802	600	422	555
KCTD9	136	714	813	36	190	3405	1800	3480	2513	2600
KDELC1	148	285	176	18	106	114	176	144	106	88
KDELC2	526	1419	2254	63	564	1511	1756	2068	1561	1195
KDELR1	5940	10420	6153	1674	4343	13977	6715	13414	11346	14231
KDELR2	8004	13438	11380	2156	6275	16069	9589	16233	13216	17647
KDELR3	499	1331	2208	130	286	753	650	793	696	1397
KDF1	1065	932	780	367	691	1905	572	1763	1436	1980
KDM1A	5993	4785	3740	554	2093	3459	2906	4199	3175	3199
KDM1B	1244	2894	1074	92	1175	2111	1966	1950	1900	1341
KDM2A	2616	6463	3567	498	2321	5707	4843	6948	5462	5684
KDM2B	1287	1211	1001	230	1010	1291	1070	1419	1419	1530
KDM3A	2203	2664	2005	116	868	2339	2132	3957	2037	4114
KDM3B	2570	4562	3230	284	2223	5498	4468	7117	4752	5219
KDM4A	1734	2399	1235	152	851	3660	1934	4941	3839	3326
KDM4A-AS1	23	21	20	1	23	15	22	44	28	22
KDM4B	1962	2004	993	221	976	3299	2191	3721	2727	2148
KDM4C	301	762	569	94	480	1011	665	1415	857	1096
KDM4D	16	36	17	2	14	23	17	40	30	19
KDM5A	1167	2333	1802	122	1074	2525	2297	3496	2282	2553
KDM5B	1175	3113	2922	182	1362	3549	2751	4984	2871	2724
KDM5C	4543	6208	3726	967	6515	5407	4460	8518	7004	7345
KDM6A	498	1277	1095	63	810	1508	1142	2621	2040	4611
KDM6B	2624	2027	687	302	1883	3526	2384	4159	3082	6768
KDM7A	967	2555	2450	97	1406	3082	2196	3712	2754	3048
KDM8	150	154	74	23	94	273	145	289	245	2176
KDR	350	891	414	8	305	577	861	1059	490	524
KDSR	906	2626	1120	148	730	2927	2381	3244	2173	3901
KEAP1	5821	3242	3109	1487	3194	4919	3015	4570	4507	3579
KHDC1	5	32	0	0	6	29	30	24	37	30
KHDRBS1	4856	7239	6284	672	3123	7871	6115	8619	7151	7619
KHDRBS3	1068	1226	255	131	355	469	549	558	364	371
KHK	490	1516	207	160	702	437	352	595	716	26615
KHNYN	1687	5204	1453	228	1793	5100	3456	6431	4535	5454
KHSRP	9989	11369	5251	1232	7301	10575	7887	10393	8945	9732
KIAA0020	786	1804	1433	264	931	956	980	1082	1055	639
KIAA0040	1087	1740	1796	210	1030	1578	1055	2417	1681	1606
KIAA0100	4614	8160	2806	709	4604	9364	7978	10435	7690	10363
KIAA0101	197	168	922	80	432	427	230	524	561	319
KIAA0125	5	65	7	117	41	586	116	426	445	57
KIAA0141	887	2257	1741	308	1437	4213	2507	5427	2714	3232
KIAA0195	2522	3939	2236	671	2309	9222	3574	8731	5697	8708
KIAA0196	2058	4116	1724	72	1050	2967	2072	3459	2321	2524
KIAA0226	719	944	652	122	716	1484	1220	1793	1464	1143
KIAA0226L	5508	7544	2449	526	4251	1606	796	1717	1118	1042
KIAA0232	425	1773	1861	93	649	4214	4309	3112	3164	3542
KIAA0319	9	82	16	19	23	92	112	95	55	33
KIAA0319L	1774	3981	3488	482	1290	5213	2971	6143	4076	6590
KIAA0355	1086	1753	1026	157	1015	1586	1658	2783	1382	1483
KIAA0368	4132	4428	5871	198	2207	7118	5292	8245	5656	7539
KIAA0391	108	217	212	18	103	256	212	394	251	345
KIAA0430	1591	3629	2223	161	1042	4816	4806	6307	3596	5561
KIAA0513	157	1357	455	92	264	3606	2530	4070	3464	1508
KIAA0556	1080	1752	557	89	882	1703	1250	1806	1611	1494
KIAA0586	262	601	354	41	254	594	522	872	589	602
KIAA0753	464	528	366	44	273	576	608	752	621	646
KIAA0825	20	33	40	0	12	45	55	64	35	46
KIAA0895	78	201	205	26	55	90	156	103	81	99
KIAA0895L	497	628	344	156	713	416	323	536	466	342
KIAA0907	927	1631	1419	126	1020	704	847	1686	822	882
KIAA0922	531	421	471	69	131	553	505	744	872	351
KIAA0930	3158	4240	2299	687	1867	3723	3137	3368	3628	3408
KIAA1024	21	104	60	0	14	26	31	48	27	22
KIAA1033	498	1893	2124	27	463	1687	1387	2425	1506	2599
KIAA1107	34	266	174	0	31	186	141	335	150	179
KIAA1109	875	2853	1748	44	591	3605	4101	6406	3262	5907
KIAA1143	451	1108	678	25	269	1254	1168	1441	927	974
KIAA1147	1436	3874	2481	93	1115	2731	2127	4454	1966	2276
KIAA1161	1960	2882	2296	351	2614	11829	5046	11570	10840	16129
KIAA1191	1737	4189	3991	278	1610	6550	4219	7285	4384	8893
KIAA1211	89	959	167	10	314	3581	1800	3111	2480	6868
KIAA1211L	541	495	630	105	324	1141	256	1165	1083	1641
KIAA1217	2405	5801	3347	175	1540	4769	3537	4980	4103	4870
KIAA1244	928	3106	1729	102	801	1463	1900	2636	1231	952
KIAA1257	185	198	295	58	41	36	15	27	18	10
KIAA1279	343	860	829	56	343	1229	984	1374	1098	1064
KIAA1324	1062	11164	4110	253	3932	8938	4703	12502	5737	6761
KIAA1324L	423	960	625	36	14	1062	712	1030	312	178
KIAA1328	84	157	71	1	52	173	202	285	156	266
KIAA1377	53	205	135	30	52	219	343	390	117	186
KIAA1407	109	238	142	14	86	206	192	347	198	201
KIAA1429	2004	2731	2017	63	875	2386	2203	3047	1987	2454
KIAA1456	35	100	80	19	58	348	147	459	295	140
KIAA1462	379	1093	330	16	265	3528	7364	1751	445	818
KIAA1467	33	141	40	2	37	108	130	177	101	470
KIAA1468	406	1385	618	88	601	2066	1633	2668	1752	2335
KIAA1522	6687	7785	7170	1270	4601	25180	9523	24623	17789	23348
KIAA1524	229	249	554	16	139	179	165	276	264	101
KIAA1549	965	1274	539	140	679	287	401	331	266	197
KIAA1549L	61	228	25	9	15	32	109	12	14	28
KIAA1551	496	1999	1103	43	440	1319	1607	1941	2171	4827
KIAA1586	65	226	107	24	33	146	173	198	135	151
KIAA1598	504	1860	1069	54	557	2141	1305	2249	1753	2264
KIAA1614	42	113	42	10	61	144	375	189	135	170
KIAA1644	91	206	19	6	55	1377	3088	584	212	801
KIAA1671	1643	4681	3765	66	1044	9539	6470	9817	8399	10987
KIAA1683	36	134	29	9	51	653	272	936	395	856
KIAA1715	649	1704	1081	51	638	2409	1780	2852	2361	2158
KIAA1755	141	508	162	39	187	163	268	175	173	203
KIAA1841	213	549	444	27	296	426	401	509	423	411
KIAA1875	195	52	20	24	64	17	5	27	20	31
KIAA1919	105	245	112	24	92	255	230	306	223	560
KIAA1958	288	549	283	29	248	401	279	771	341	709
KIAA2013	3934	4542	2230	1020	2556	10258	4120	7950	6285	15880
KIAA2018	324	1023	855	44	470	1788	1427	2314	1545	1952
KIAA2026	308	1134	810	33	394	1026	1179	1462	971	1205
KIDINS220	2059	3052	1684	152	1009	4206	4245	5591	3150	3692
KIF11	495	676	1035	16	561	846	503	1228	1226	586
KIF12	783	980	613	380	1093	775	220	805	397	2857
KIF13A	1502	3036	1081	165	1086	4136	4206	4345	2658	4496
KIF13B	743	3402	1786	450	1892	14018	9374	14067	11009	7932
KIF14	103	160	376	17	240	106	67	155	204	78
KIF15	564	389	621	12	220	366	230	560	573	244
KIF16B	679	3109	1053	237	1411	3429	2750	3808	2856	3663
KIF17	38	31	12	12	16	63	64	85	50	53
KIF18A	305	202	491	10	126	148	76	202	255	85
KIF18B	1160	470	471	114	698	253	139	337	494	194
KIF19	92	34	34	18	25	303	56	230	307	166
KIF1B	1186	2856	2021	104	801	4134	4777	6394	4039	5261
KIF1C	7911	7137	3160	1178	6044	24515	14870	23854	15828	21448
KIF20A	789	642	1018	61	496	318	211	498	563	188
KIF20B	213	496	456	26	155	462	378	714	630	361
KIF21A	363	1274	1224	57	572	1576	1648	1642	1498	2178
KIF21B	575	1436	684	264	1539	670	409	648	1178	324
KIF22	2618	1669	1638	458	1947	3949	1386	3648	2768	1828
KIF23	572	482	1101	59	596	362	292	597	609	321
KIF24	337	140	313	25	225	144	95	228	241	209
KIF26A	1276	484	38	44	178	962	702	745	425	327
KIF26B	470	826	250	21	97	75	98	49	56	123
KIF27	67	108	99	29	31	72	99	125	75	101
KIF2A	792	1014	1310	71	825	1233	1246	1351	1209	2666
KIF2C	1631	754	1187	119	569	672	281	849	902	411
KIF3A	113	490	202	16	122	270	404	263	270	230
KIF3B	2427	6561	2050	398	2237	5815	3777	6293	4931	9515
KIF3C	858	718	209	54	188	459	686	488	364	459
KIF4A	1077	875	1084	124	800	718	348	876	910	387
KIF5A	28	198	8	5	9	337	665	336	404	445
KIF5B	8954	9939	15929	648	3125	12219	12264	12596	8760	11583
KIF5C	22	68	50	3	13	229	482	376	245	277
KIF7	152	223	73	12	140	246	377	294	196	145
KIF9	455	201	763	78	361	332	226	277	233	253
KIF9-AS1	35	42	18	1	5	52	54	62	29	69
KIFAP3	778	1544	1343	135	745	2153	1322	3228	3175	2228
KIFC1	1936	904	749	461	1427	970	529	1157	1316	598
KIFC2	1037	891	248	145	844	399	194	532	424	479
KIFC3	423	835	288	108	444	433	603	345	318	3533
KIN	182	480	375	10	106	421	371	600	422	593
KIRREL	1166	2682	895	37	871	1238	2121	1732	1034	1018
KIT	76	318	362	14	70	689	975	1517	1517	1401
KITLG	266	1355	1049	5	157	2688	2756	3122	2122	1194
KIZ	322	816	273	96	247	1325	2669	1152	401	1704
KL	26	48	33	0	13	164	359	284	79	387
KLB	19	50	23	0	16	163	62	292	191	282
KLC1	670	867	404	316	685	1306	1263	1523	1137	1094
KLC2	1029	1511	527	223	864	1120	1294	888	665	1268
KLC4	1663	2848	1464	831	2642	8139	2609	7355	6146	10769
KLF10	2357	4338	2252	315	1385	8437	7114	5527	3510	5948
KLF11	551	1323	1102	76	328	1117	1529	1570	733	1303
KLF12	400	427	633	24	171	665	831	990	598	473
KLF13	5615	5130	2195	469	3567	15126	6967	15119	12365	13362
KLF15	178	11	68	15	18	168	59	304	157	227
KLF16	2686	1383	669	524	1577	2030	833	1387	1501	2658
KLF2	817	492	235	854	601	2467	1728	1996	2257	756
KLF3	2361	5345	5711	223	2234	11016	7228	12450	8091	9855
KLF3-AS1	35	34	17	13	26	37	52	66	40	39
KLF4	1047	3754	1306	330	1890	34800	13486	27553	19018	16210
KLF5	11414	18282	14645	1357	9251	25710	13865	35926	25007	23064
KLF6	5401	14285	8970	592	3082	24960	12342	23416	19612	13415
KLF7	438	1783	408	21	603	576	1021	718	462	1242
KLF8	21	112	28	5	30	135	289	276	201	107
KLF9	571	1020	775	66	244	4869	3079	6445	3445	7346
KLHDC1	31	39	20	4	15	116	117	146	83	160
KLHDC10	1262	2271	2046	93	1043	2505	1556	3199	2060	1965
KLHDC2	789	1920	962	326	875	2978	1626	3339	1974	4358
KLHDC3	3633	3364	2077	820	2621	5043	3200	5365	3525	5729
KLHDC4	1018	1429	349	446	1465	1364	1154	994	1149	1046
KLHDC7A	6	98	25	6	10	83	147	115	78	14
KLHDC7B	69	118	37	9	14	54	27	45	182	44
KLHDC8A	25	36	20	6	27	27	43	46	43	67
KLHDC8B	391	567	157	76	128	1379	1930	1053	422	1020
KLHDC9	116	98	133	106	120	298	131	281	213	121
KLHL11	77	81	158	5	84	99	74	124	61	84
KLHL12	918	1838	1309	181	1597	2324	1587	2758	1878	2041
KLHL13	624	109	81	61	15	331	427	474	213	575
KLHL15	169	470	232	26	150	429	386	684	335	597
KLHL17	465	237	97	259	179	104	85	121	143	121
KLHL18	883	965	786	97	676	916	852	998	855	944
KLHL2	308	675	559	24	268	759	812	868	558	882
KLHL20	358	765	384	69	416	825	911	951	651	959
KLHL21	2228	1731	1098	211	731	1879	2520	1972	1263	1600
KLHL22	294	537	314	164	228	762	854	704	641	662
KLHL23	724	1633	848	63	678	1178	1895	1216	599	1467
KLHL24	1121	2808	1363	56	565	2203	1680	3577	1676	4373
KLHL25	350	395	542	117	542	765	561	678	634	791
KLHL26	650	451	336	126	421	780	595	825	576	536
KLHL28	114	588	308	17	94	614	495	837	582	994
KLHL29	632	908	294	107	259	232	692	215	202	297
KLHL3	90	351	178	70	167	200	210	262	240	126
KLHL31	34	48	46	0	38	19	12	34	33	25
KLHL32	53	96	25	24	30	43	26	66	41	83
KLHL35	296	102	66	416	125	48	14	27	22	14
KLHL36	1351	2811	1216	598	1580	3270	2581	4510	2487	2637
KLHL42	745	1068	962	89	660	1529	2671	2004	1138	1238
KLHL5	432	659	724	35	269	1090	2627	624	458	1070
KLHL6	82	266	124	52	134	542	163	1004	1373	195
KLHL7	481	931	548	42	386	897	970	1139	738	1104
KLHL8	468	876	1363	18	569	1522	946	1897	1192	1805
KLHL9	1948	1582	2359	118	944	2098	1973	3194	2102	1926
KLK1	449	5806	678	195	552	4811	2674	7653	3386	1808
KLK10	1025	3997	721	130	864	93	166	100	64	81
KLK11	21	213	58	39	87	30	19	67	59	47
KLK12	91	35	81	54	66	36	8	13	26	186
KLK15	25	135	66	3	12	254	114	207	112	15
KLK6	9	1461	11	30	255	1	1	0	0	2
KLLN	27	56	24	1	39	169	75	159	137	75
KLRAP1	11	41	60	1	23	45	39	66	38	58
KLRB1	11	52	66	25	23	335	96	460	1366	424
KLRD1	18	273	131	2	18	190	56	287	774	84
KLRG1	10	35	17	2	1	31	41	48	47	19
KMO	16	58	20	2	13	40	20	63	78	19
KMT2A	879	3484	1610	96	1153	2799	4477	4241	2929	2788
KMT2B	3051	3682	1498	430	2096	2894	2512	3431	2928	3149
KMT2C	1162	3870	1924	94	1366	3728	5053	4952	3574	4305
KMT2D	3096	5119	2055	408	2765	5145	5784	6950	4866	4408
KMT2E	2646	3990	3317	177	1677	5922	4883	8064	5085	4788
KMT2E-AS1	45	66	43	78	65	103	76	110	75	134
KNDC1	4	9	2	5	28	22	36	25	30	43
KNOP1	633	1377	919	103	450	795	667	977	674	563
KNSTRN	411	359	374	22	298	390	282	494	474	262
KNTC1	438	688	1197	37	529	514	419	809	723	424
KPNA1	1054	1874	1436	88	994	2053	2166	2091	1415	2616
KPNA2	3645	3699	5631	362	3148	2436	1866	2429	3340	1836
KPNA3	1882	2966	2182	57	1755	2384	2605	2534	1917	2288
KPNA4	2268	3971	3401	241	1650	4739	5086	4965	3645	4957
KPNA5	45	194	80	3	30	176	312	267	185	248
KPNA6	1811	3170	2910	82	866	3323	3456	3953	2597	3454
KPNA7	4	28	27	1	44	32	30	19	21	13
KPNB1	4810	9948	6917	480	4456	8079	8622	10114	8789	6631
KPTN	166	189	57	127	188	244	188	261	282	278
KRAS	790	2284	2484	129	991	4805	3665	4543	3485	3604
KRBA1	32	96	39	6	21	227	349	235	186	169
KRBOX4	94	344	156	26	103	248	322	337	241	381
KRCC1	426	1532	1993	29	319	3275	1972	3840	2575	2580
KREMEN2	263	18	37	54	70	34	14	34	33	7
KRI1	1285	1681	483	148	566	967	1006	1253	988	1045
KRIT1	525	1337	955	49	543	871	947	1344	901	1208
KRR1	470	1107	1260	51	307	1064	1148	1387	1015	1094
KRT10	598	470	437	374	419	1048	512	990	728	1226
KRT15	96	350	44	85	179	166	92	66	73	388
KRT17	133	152	230	83	869	69	45	2	10	22
KRT18	49366	40241	92999	10723	34423	64977	29634	44188	38097	48981
KRT18P10	68	19	23	5	21	30	16	17	15	14
KRT18P11	40	12	33	23	7	33	12	19	10	10
KRT18P34	22	23	27	4	18	46	21	55	56	55
KRT19	26868	31483	14438	8127	25094	130795	47921	58256	64336	113426
KRT20	2595	17383	10061	599	5534	104362	53697	71276	103115	116404
KRT23	17	6360	103	171	1887	10	10	6	14	22
KRT6B	80	100	98	63	13	2	1	0	8	4
KRT7	149	89	88	184	115	53	48	27	29	20
KRT8	95610	94223	134224	19639	78130	346547	137265	207860	234655	285614
KRT80	2041	1328	1269	68	942	23	25	13	7	92
KRT86	18	17	24	3	27	26	19	10	7	70
KRT8P11	42	5	17	13	17	163	9	220	89	155
KRT8P12	102	111	144	20	102	159	148	157	129	104
KRT8P3	311	54	2684	52	350	1592	69	1926	242	1234
KRT8P33	134	17	224	24	39	187	28	187	100	163
KRT8P36	15	3	2913	28	1243	87	3	85	48	54
KRT8P45	55	22	249	10	32	482	25	558	257	374
KRT8P46	19	6	58	3	11	29	7	39	16	32
KRT8P48	67	1	154	5	66	95	7	112	63	63
KRT8P8	27	1	39	11	17	86	6	81	36	70
KRTAP4-1	6	23	17	1	10	43	4	29	16	18
KRTAP5-1	52	28	20	3	68	9	4	25	14	10
KRTAP5-AS1	259	74	42	36	86	130	32	80	90	120
KRTCAP2	406	624	360	473	426	845	470	733	773	935
KRTCAP3	1337	1679	2143	1424	1540	2909	1217	2772	2101	2695
KSR1	232	808	319	45	527	786	938	997	1071	1546
KSR2	43	81	24	3	15	118	111	230	78	55
KTI12	307	336	329	87	183	442	235	538	478	513
KTN1	1887	9790	4100	137	1503	15655	12894	16015	12249	10179
KTN1-AS1	19	130	28	2	32	66	68	103	53	29
KXD1	2237	3092	1312	458	1466	3143	2081	2595	2537	2839
KYNU	45	166	116	3	60	75	58	132	152	51
L1CAM	222	814	12	73	32	1781	4087	2206	2779	2021
L1TD1	153	81	183	9	292	379	107	705	1415	7
L2HGDH	177	437	338	37	241	432	427	737	376	392
L3HYPDH	73	85	24	38	109	101	77	98	152	140
L3MBTL1	177	534	85	44	267	104	191	168	99	184
L3MBTL2	934	1391	927	134	891	1706	1540	1627	1677	1560
L3MBTL3	179	539	286	3	145	348	354	573	311	207
L3MBTL4	303	153	208	19	111	190	221	228	248	305
LA16c-313D11.12	20	77	40	20	57	47	48	68	53	25
LA16c-358B7.3	123	149	55	58	135	107	104	139	95	93
LA16c-380H5.5	68	269	33	14	157	526	149	391	230	328
LA16c-OS12.2	49	24	9	6	26	30	28	19	11	21
LACC1	173	658	494	13	208	828	512	868	795	526
LACE1	140	224	93	18	69	349	184	435	257	403
LACTB	248	637	717	121	314	1211	682	1422	1196	1166
LACTB2	105	1107	641	112	500	812	496	858	626	1367
LAD1	3647	11453	8065	2077	10546	13212	11211	16646	11100	17326
LAG3	108	140	105	61	75	386	119	376	782	487
LAGE3	729	738	290	626	928	637	367	512	579	584
LAIR1	340	1126	412	49	232	665	372	1268	1799	689
LAMA1	107	273	61	6	27	1190	555	784	356	1390
LAMA2	282	682	161	55	200	1198	1240	3314	1120	870
LAMA3	596	6107	1080	72	1710	7299	18727	4447	9347	11778
LAMA4	1545	4912	1798	112	1245	3468	6224	4855	2815	3771
LAMA5	1062	874	275	360	1317	4133	9263	4133	2113	2679
LAMB1	5141	6976	7100	600	2432	7852	7874	11005	7387	7026
LAMB2	3594	5457	1195	774	2405	6851	13206	7293	3848	7442
LAMB3	3180	11581	3424	1335	9907	13652	8864	13686	7180	24336
LAMC1	4257	7181	4719	267	3214	7227	13666	11939	5488	5963
LAMC2	4861	11731	8462	698	4891	5050	11747	3810	5443	6076
LAMC3	73	287	61	49	284	613	194	1038	408	27
LAMP1	20272	16090	12237	3719	21387	20958	12323	19678	14802	27739
LAMP2	2371	9123	5438	272	2283	6483	4517	7906	4936	11272
LAMP3	265	287	137	16	157	75	178	140	449	106
LAMP5	63	95	22	1	24	72	49	64	88	61
LAMTOR1	1679	3873	3151	1220	2204	5903	3109	5161	4294	5680
LAMTOR2	1524	1137	1294	686	1288	2312	1084	1796	1809	2547
LAMTOR3	822	1209	1975	62	474	2892	2380	2855	2026	2568
LAMTOR4	2482	2816	1700	2160	2929	7286	2605	5076	4696	4885
LAMTOR5	1478	1849	3143	364	1719	2681	1560	2662	2133	3479
LAMTOR5-AS1	7	22	42	0	22	40	15	48	35	67
LANCL1	893	1672	1765	58	923	2266	2722	2826	1691	2441
LANCL2	1019	870	721	276	829	1379	1007	1469	1196	1814
LANCL3	43	100	53	0	18	337	362	385	244	121
LAP3	2536	7492	3787	398	2143	4870	2886	4524	8494	5366
LAPTM4A	6616	10978	11094	1044	4348	14042	11594	14427	11335	16164
LAPTM4B	4205	6481	4117	1622	3941	2860	2334	3202	2263	5725
LAPTM5	3572	8526	3915	617	1991	6397	2629	9778	11331	4413
LARGE	465	1053	637	66	641	3733	3001	3290	2273	4062
LARP1	7320	11640	7930	1146	7002	9273	8499	10612	8579	7819
LARP1B	627	1153	1098	33	250	1206	1019	1445	982	1550
LARP4	673	2220	2416	78	686	1578	1743	2051	1585	1614
LARP4B	3487	3958	3858	616	2665	4666	3194	5778	4112	3859
LARP6	169	151	59	9	47	338	438	347	166	290
LARP7	403	1510	1005	23	206	1982	1773	2271	1761	2127
LARS	2330	5100	4708	268	3037	4485	3722	6306	3653	3623
LARS2	1551	1702	1506	242	1282	1520	1105	2193	1912	994
LAS1L	2461	2926	1478	531	1703	1599	1437	1645	1476	1360
LASP1	11495	19614	6124	2422	10421	36525	16465	34542	28931	59450
LAT	7	33	2	12	9	4	5	19	43	16
LAT2	242	470	187	54	226	533	214	746	731	410
LATS1	419	1449	875	28	499	1304	1491	1859	1256	1438
LATS2	837	911	834	121	328	1184	1279	1166	711	792
LAX1	11	45	31	31	35	148	82	340	532	75
LAYN	161	363	102	15	73	348	569	297	178	458
LBH	2710	3335	1318	428	1152	1412	1198	1749	2511	1308
LBHD1	12	174	59	1	38	82	81	132	125	72
LBR	2776	6141	4226	349	3740	4969	4811	6185	4410	4354
LBX2	10	48	35	1	23	30	11	27	17	57
LBX2-AS1	163	450	197	30	126	799	296	734	590	1628
LCA5	12	159	24	2	11	84	263	160	59	67
LCA5L	6	64	36	0	16	31	37	47	27	53
LCAT	127	126	71	23	110	97	189	161	134	128
LCK	175	358	218	153	138	636	211	543	2018	458
LCLAT1	738	725	908	46	402	862	569	1210	676	2220
LCMT1	1508	1547	1122	473	965	2518	1132	2799	2074	2140
LCMT2	266	338	277	37	313	538	340	766	516	529
LCN12	87	133	37	63	129	24	20	58	32	25
LCN15	3	116	12401	38	1	390	32	959	263	120
LCN2	539	5553	8293	7025	3859	5854	5330	4295	11066	253
LCOR	249	1970	792	23	315	2463	2112	2605	2089	4404
LCORL	78	552	654	16	108	488	348	685	463	1572
LCP1	1317	3999	2341	191	960	4011	1880	5604	10706	3483
LCP2	415	1212	485	88	273	742	433	1129	2452	855
LDB1	1349	1857	490	305	1214	2257	2046	2396	1549	2237
LDB2	123	353	145	1	131	402	550	595	383	473
LDB3	46	63	4	0	6	946	3351	556	190	1343
LDHA	41238	32256	41767	3595	14395	29827	17186	32964	26709	91630
LDHAP3	108	61	9	8	2	66	35	3	50	6
LDHAP4	705	141	39	20	29	144	68	12	127	47
LDHAP7	270	126	2	7	13	68	55	5	74	6
LDHB	10053	10046	9247	961	5820	9061	8827	9141	8518	3814
LDHD	72	519	845	142	677	6505	1668	6376	4632	2728
LDLR	6577	5033	4782	914	6296	5213	5842	3101	6133	5923
LDLRAD2	67	67	48	4	32	132	296	179	129	90
LDLRAD3	805	1551	97	51	341	129	214	188	189	167
LDLRAD4	340	668	503	47	333	1334	1222	1674	1250	2636
LDLRAP1	1220	2295	1220	472	1011	4068	1718	4396	3551	2252
LDOC1	131	152	51	12	95	384	440	364	196	366
LDOC1L	1403	2168	1455	136	816	3083	3264	3316	2467	2117
LEAP2	38	37	37	2	38	75	53	166	56	1476
LEF1	220	633	363	50	456	93	75	199	142	111
LEFTY1	4186	4083	5067	349	991	7081	2015	5022	2144	47
LEKR1	9	16	21	0	4	29	13	26	4	12
LEMD1	28	45	371	24	144	1	4	0	1	22
LEMD2	1652	2446	803	436	1651	3042	1532	3209	2448	2970
LEMD3	824	1413	1858	89	588	1939	1288	2446	1946	1333
